Designator,Mid X,Mid Y,Rotation,Layer
C1,112.0,-95.5,270.0,top
C10,103.753727,-82.619755,90.0,top
C11,99.753727,-82.619755,90.0,top
C12,101.753727,-82.619755,90.0,top
C13,100.25,-87.25,0.0,bottom
C14,103.4,-93.8,90.0,top
C15,99.4,-89.8,0.0,top
C16,99.4,-103.2,0.0,top
C17,115.65,-88.0375,180.0,top
C2,110.385,-93.0,180.0,top
C28,115.35,-102.945,270.0,top
C29,114.15,-98.425,180.0,top
C3,107.0,-110.55,270.0,top
C30,113.55,-100.025,180.0,top
C31,110.55,-103.825,90.0,top
C4,103.4,-96.8,90.0,top
C5,99.25,-106.5,90.0,top
C6,113.28,-91.8,180.0,top
C7,109.0,-91.5,180.0,top
C8,111.7,-82.79,90.0,top
C9,105.753727,-82.619755,90.0,top
D1,114.4,-112.5,270.0,bottom
D2,104.249,-108.2,270.0,top
D3,101.6,-108.2,270.0,top
F1,100.1875,-109.6,180.0,bottom
J1,113.89,-112.105,0.0,top
J2,102.8,-85.2,0.0,bottom
J4,102.35,-112.2,0.0,bottom
J5,112.75,-85.25,0.0,bottom
L2,117.35,-102.625,90.0,top
LED1,116.5,-82.3,180.0,top
LED2,108.9,-82.3,0.0,top
R1,103.0,-98.75,0.0,top
R10,117.69,-94.4375,180.0,top
R11,117.7025,-95.5,180.0,top
R2,108.9,-83.6,0.0,top
R3,116.5,-83.6,180.0,top
R4,109.25,-99.5,180.0,top
R5,113.7,-82.79,270.0,top
R6,112.7,-82.79,90.0,top
R7,99.4,-88.8,180.0,top
R8,99.4,-102.2,180.0,top
R9,117.7,-93.4375,180.0,top
SW1,99.8,-93.2,270.0,top
SW2,99.8,-98.8,270.0,top
U1,115.7,-90.4,0.0,top
U2,104.84,-97.6,270.0,bottom
U3,107.18,-96.02,270.0,top
U5,113.1,-102.5625,90.0,top
